,LocYear,educ4,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ13,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ19
80,AR1994,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1904531181043045,-0.15805905577667118,-0.22999273467946893,-0.2020332181521915,-0.1849571914977485,-0.004029477331609247,-0.02666589082397953
81,AR1995,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.18373528881642698,-0.15636210747327287,-0.20412068682093354,-0.19622949043404303,-0.17995509052283948,-0.004029477331609247,-0.02666589082397953
82,AR1996,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1876375572998264,-0.15509771461976038,-0.19939622590763575,-0.19660917355579105,-0.18052580003004384,-0.004029477331609247,-0.02666589082397953
83,AR1997,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.17921557278818584,-0.1612366746585249,-0.23426724693435738,-0.19487347928494292,-0.18179311084751243,-0.004029477331609247,-0.02666589082397953
84,AR1998,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.16857077711511526,-0.1680244678721182,-0.1238048512948715,-0.19384291081162683,-0.1773197554454545,-0.004029477331609247,-0.02666589082397953
85,AR1999,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.17914147908280484,-0.17704158532743086,-0.2295427860210596,-0.1920529760948147,-0.1891284065724629,-0.004029477331609247,-0.02666589082397953
86,AR2000,-1.2668174167402557,-2.415473010281117,-1.934919323470962,-1.803168729159169,2.755327200675784,2.121886700547496,-0.13546002260801102,-0.1637793841671438,-0.15983918782043216,-0.17554894701194226,-0.17995735664484172,-0.17134409119354976,0.6680172637141988,-2.1645672471104582
87,AR2001,-0.69199911654049,-1.8159030305064077,-1.934919323470962,-1.803168729159169,2.295186358629971,1.7876132967158656,-0.13546002260801102,-0.16024758421064936,-0.15553027006964623,-0.22931781169185494,-0.1723636942098811,-0.16880107677174197,1.6760873752829113,-2.000113296626883
88,AR2002,-0.69199911654049,-1.2163330507316976,-0.8254498877707205,-1.0203535135577013,1.3749046745383473,1.1190664890526054,-0.13546002260801102,-0.1571356485846473,-0.15429915071227882,-0.2331423752883341,-0.16216649036864828,-0.1656873528427298,2.0121107458058156,-2.1645672471104582
89,AR2003,-0.69199911654049,-2.415473010281117,-1.934919323470962,-1.0203535135577013,2.0651159376070645,1.7876132967158656,1.0090876574015248,-0.15436948358375654,-0.15078879686897445,-0.23584206723878998,-0.15614580086664379,-0.16214559678331436,2.684157486851624,-2.1645672471104582
90,AR2004,-0.11718081634072425,-2.415473010281117,-1.6575519645459014,-1.803168729159169,2.5252567796528775,1.1190664890526054,-0.13546002260801102,-0.15851873108509265,-0.15566336405422648,-0.18274812554649125,-0.15451858748772365,-0.16378219022309165,1.004040634237103,-1.5067514451761574
91,AR2005,-0.69199911654049,-1.8159030305064077,-1.934919323470962,-1.4117611213584351,2.0651159376070645,1.7876132967158656,0.4368138173967573,-0.14283556344611392,-0.15862470521113728,-0.2205438128528734,-0.1548982706094717,-0.16141542432556757,1.6760873752829113,-1.8356593461433073
92,AR2006,-0.69199911654049,-1.8159030305064077,-2.2122866823960226,-1.4117611213584351,2.295186358629971,1.453339892884236,-0.13546002260801102,-0.14955339273399143,-0.16752536542994223,-0.032240299308576685,-0.14974542824289128,-0.16036632596673597,1.004040634237103,-0.8489356432418557
