,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
1000,HI2005,0.775,N.C.,0.063,0.363,N.C.,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
1001,HI2005,0.775,N.C.,0.063,0.363,0.036,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
1002,HI2005,0.775,0.063,N.C.,0.363,N.C.,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
1003,HI2005,0.775,0.063,N.C.,0.363,0.036,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
1004,HI2005,0.775,0.063,0.063,0.363,N.C.,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
1005,HI2005,0.775,0.063,0.063,0.363,0.036,22.0,36,,,,,,,,0.12,,116,1468.0,,0.122,32,17924.0,1480.0
1006,HI2006,0.788,N.C.,N.C.,0.36,N.C.,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1007,HI2006,0.788,N.C.,N.C.,0.36,0.036,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1008,HI2006,0.788,N.C.,0.061,0.36,N.C.,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1009,HI2006,0.788,N.C.,0.061,0.36,0.036,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1010,HI2006,0.788,0.061,N.C.,0.36,N.C.,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1011,HI2006,0.788,0.061,N.C.,0.36,0.036,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1012,HI2006,0.788,0.061,0.061,0.36,N.C.,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
1013,HI2006,0.788,0.061,0.061,0.36,0.036,30.0,47,,,,,,,,,,107,1531.0,,0.121,48,18982.0,1619.0
